object,stock_rom,ordinary_rom,bench_rom,ordinary_minus_stock,stock_ram,ordinary_ram,bench_ram
obj/src/emos.o,0,12933,13028,12933,0,3167,3167
obj/src/emos_uart_probe.o,0,3217,3217,3217,0,0,0
obj/src/emos_keyboard.o,0,3054,3452,3054,0,290,437
obj/src/emos_console.o,0,1928,1928,1928,0,39,39
obj/src/emos_uart_flow.o,0,1731,0,1731,0,10,0
obj/src/emos_parallel_engine.o,0,1398,1398,1398,0,0,0
obj/src/emos_parallel.o,0,1268,1268,1268,0,40,40
obj/src/uart.o,454,1285,1331,831,0,2,2
obj/src/mos.o,29706,30450,30450,744,2276,2289,2289
obj/src/emos_sdlink.o,0,685,685,685,0,486,486
obj/asm/src/emos_parallel_io.o,0,393,393,393,0,0,0
obj/asm/src/serial.o,235,501,501,266,0,0,0
obj/asm/src/emos_keyboard_io.o,0,208,208,208,0,0,0
obj/asm/src/vdp_protocol.o,493,591,591,98,0,0,0
obj/asm/src/mos_api.o,2701,2761,2761,60,0,0,0
obj/asm/src/interrupts.o,367,391,391,24,0,0,0
obj/asm/src/emos_console_io.o,0,22,22,22,0,0,0
obj/main.o,1178,1182,1182,4,0,0,0
obj/asm/src/keyboard.o,1068,1071,1071,3,0,0,0
runtime/build/libmos_runtime.a(lshru.o),16,16,16,0,0,0,0
obj/asm/src_startup/globals.o,0,0,0,0,120,120,120
runtime/build/libmos_runtime.a(tolower.o),12,12,12,0,0,0,0
obj/src_fatfs/diskio.o,580,580,580,0,3,3,3
runtime/build/libmos_runtime.a(lneg.o),13,13,13,0,0,0,0
runtime/build/libmos_runtime.a(lcmpu.o),8,8,8,0,0,0,0
obj/asm/src/spi.o,270,270,270,0,0,0,0
obj/src/timer.o,179,179,179,0,0,0,0
obj/src/mos_editor.o,4589,4589,4589,0,48,48,48
runtime/build/libmos_runtime.a(lshl.o),13,13,13,0,0,0,0
runtime/build/libmos_runtime.a(lshrs.o),27,27,27,0,0,0,0
obj/src_fatfs/ffsystem.o,0,0,0,0,0,0,0
obj/asm/src_startup/cstartup.o,78,78,78,0,0,0,0
runtime/build/libmos_runtime.a(strncpy.o),70,70,70,0,0,0,0
runtime/build/libmos_runtime.a(sor.o),9,9,9,0,0,0,0
runtime/build/libmos_runtime.a(memmove.o),48,48,48,0,0,0,0
runtime/build/libmos_runtime.a(ldivs.o),24,24,24,0,0,0,0
runtime/build/libmos_runtime.a(idivu.o),8,8,8,0,0,0,0
runtime/build/libmos_runtime.a(memset.o),31,31,31,0,0,0,0
obj/src/emos_telemetry.o,0,0,348,0,0,0,1
obj/src_fatfs/ff.o,30862,30862,30862,0,6,6,6
obj/src/strings.o,1085,1085,1085,0,0,0,0
runtime/build/libmos_runtime.a(ishl.o),38,38,38,0,0,0,0
obj/src/i2c.o,733,733,733,0,0,0,0
runtime/build/libmos_runtime.a(idvrms.o),46,46,46,0,0,0,0
runtime/build/libmos_runtime.a(memcmp.o),42,42,42,0,0,0,0
runtime/build/libmos_runtime.a(toupper.o),12,12,12,0,0,0,0
runtime/build/libmos_runtime.a(lcmpzero.o),11,11,11,0,0,0,0
runtime/build/libmos_runtime.a(frameset.o),14,14,14,0,0,0,0
obj/asm/src_startup/init_params_f92.o,303,303,303,0,0,0,0
runtime/build/libmos_runtime.a(bshl.o),9,9,9,0,0,0,0
runtime/build/libmos_runtime.a(inot.o),10,10,10,0,0,0,0
runtime/build/libmos_runtime.a(lnot.o),13,13,13,0,0,0,0
runtime/build/libmos_runtime.a(strrchr.o),30,30,30,0,0,0,0
runtime/build/libmos_runtime.a(idivs.o),7,7,7,0,0,0,0
runtime/build/libmos_runtime.a(lsub.o),10,10,10,0,0,0,0
obj/src_fatfs/ffunicode.o,1596,1596,1596,0,0,0,0
runtime/build/libmos_runtime.a(isalpha.o),14,14,14,0,0,0,0
runtime/build/libmos_runtime.a(and.o),28,28,28,0,0,0,0
runtime/build/libmos_runtime.a(llshrs.o),55,55,55,0,0,0,0
runtime/build/libmos_runtime.a(strtol.o),690,690,690,0,0,0,0
obj/asm/src/rtc.o,9,9,9,0,0,0,0
runtime/build/libmos_runtime.a(irems.o),8,8,8,0,0,0,0
