composition,symbol,kind,address,bytes
stock,UART0_serial_TX,T,0x0014ba,6
stock,__ladd,T,0x015cbc,6
stock,UART0_serial_TX2,t,0x0014d0,7
stock,UART0_wait_CTS,t,0x0014a9,8
stock,UART1_wait_CTS,t,0x0014b1,9
stock,__frameset0,T,0x015baf,11
stock,__lcmpzero,T,0x015cd7,11
stock,__frameset,T,0x015ba1,14
stock,UART0_serial_TX1,t,0x0014c0,16
stock,vdp_protocol_state0,t,0x0015ac,19
stock,vdp_protocol_state2,t,0x0015d9,20
stock,vdp_protocol,T,0x001594,24
stock,UART0_serial_PUTCH,T,0x00152e,25
stock,vdp_protocol_exec,t,0x0015ed,25
stock,_uart0_handler,T,0x0003b3,26
stock,vdp_protocol_state1,t,0x0015bf,26
stock,_wait_VDP,T,0x0078dd,37
ordinary,UART0_serial_TX,T,0x001511,6
ordinary,__ladd,T,0x01c00a,6
ordinary,UART0_serial_TX2,t,0x001527,7
ordinary,UART0_wait_CTS,t,0x001500,8
ordinary,UART1_wait_CTS,t,0x001508,9
ordinary,__frameset0,T,0x01befd,11
ordinary,__lcmpzero,T,0x01c025,11
ordinary,__frameset,T,0x01beef,14
ordinary,UART0_serial_TX1,t,0x001517,16
ordinary,EMOS_vdu_WRITE,T,0x00165b,19
ordinary,vdp_protocol_state0,t,0x00170d,19
ordinary,vdp_protocol_state2,t,0x00173e,20
ordinary,vdp_protocol,T,0x0016f5,24
ordinary,UART0_serial_PUTCH,T,0x0015a4,25
ordinary,emos_keyboard_tick_entry,T,0x001c29,25
ordinary,vdp_protocol_exec,t,0x001752,27
ordinary,vdp_protocol_state1,t,0x001720,30
ordinary,EMOS_vdu_console_WRITE,t,0x00169f,37
ordinary,_emos_keyboard_irq_entry,T,0x001c04,37
ordinary,_wait_VDP,T,0x00d89d,37
ordinary,_uart0_handler,T,0x0003b7,46
ordinary,_emos_console_write_stream,T,0x005f6a,48
ordinary,_transmit,t,0x006811,71
ordinary,_effect,t,0x005ba3,87
ordinary,_emos_init,T,0x002b71,94
ordinary,_uart1_keyboard_irq,T,0x012af1,96
ordinary,_uart1_keyboard_put,T,0x012a87,106
ordinary,_emos_keyboard_tick,T,0x00629f,124
ordinary,_deadline_step,t,0x006739,127
ordinary,_emos_crc32_update,t,0x0057de,144
ordinary,_wait_reply,t,0x005e05,187
ordinary,_emos_keyboard_send,T,0x006bd3,191
ordinary,_emos_dispatch_command,T,0x0040f2,312
ordinary,_emos_preserve_module_area,t,0x00586e,348
ordinary,_emos_keyboard_byte,T,0x00631b,412
ordinary,_emos_console_packet,T,0x0059ca,473
ordinary,_emos_validate_header,t,0x005463,891
ordinary,_emos_gateway,T,0x003694,957
ordinary,_emos_invoke,t,0x003b8f,1379
ordinary,_emos_discover,T,0x002bee,2588
ordinary,_emosRegistry,b,0x0bc36b,3154
ordinary,_emos_cmd,T,0x0045ad,3580
bench,UART0_serial_TX,T,0x001511,6
bench,__ladd,T,0x01bf2a,6
bench,UART0_serial_TX2,t,0x001527,7
bench,UART0_wait_CTS,t,0x001500,8
bench,UART1_wait_CTS,t,0x001508,9
bench,__frameset0,T,0x01be1d,11
bench,__lcmpzero,T,0x01bf45,11
bench,__frameset,T,0x01be0f,14
bench,UART0_serial_TX1,t,0x001517,16
bench,EMOS_vdu_WRITE,T,0x00165b,19
bench,vdp_protocol_state0,t,0x00170d,19
bench,vdp_protocol_state2,t,0x00173e,20
bench,vdp_protocol,T,0x0016f5,24
bench,UART0_serial_PUTCH,T,0x0015a4,25
bench,emos_keyboard_tick_entry,T,0x001c29,25
bench,vdp_protocol_exec,t,0x001752,27
bench,vdp_protocol_state1,t,0x001720,30
bench,EMOS_vdu_console_WRITE,t,0x00169f,37
bench,_emos_keyboard_irq_entry,T,0x001c04,37
bench,_wait_VDP,T,0x00d78f,37
bench,_uart0_handler,T,0x0003b7,46
bench,_emos_console_write_stream,T,0x005f8b,48
bench,_transmit,t,0x006923,71
bench,_effect,t,0x005bc4,87
bench,_emos_init,T,0x002b71,94
bench,_uart1_keyboard_irq,T,0x0129e3,100
bench,_uart1_keyboard_put,T,0x012979,106
bench,_deadline_step,t,0x00684b,127
bench,_emos_crc32_update,t,0x0057ff,144
bench,_emos_keyboard_tick,T,0x0062e5,182
bench,_wait_reply,t,0x005e26,187
bench,_emos_keyboard_send,T,0x006ce5,191
bench,_emos_dispatch_command,T,0x00411d,312
bench,_emos_preserve_module_area,t,0x00588f,348
bench,_emos_keyboard_byte,T,0x00642d,412
bench,_emos_console_packet,T,0x0059eb,473
bench,_emos_validate_header,t,0x005484,891
bench,_emos_gateway,T,0x003694,1000
bench,_emos_invoke,t,0x003bba,1379
bench,_emos_discover,T,0x002bee,2588
bench,_emosRegistry,b,0x0bc36b,3154
bench,_emos_cmd,T,0x0045e0,3562
