# uart-data-probe-r01-b2026-09-13-21-30-31Z (experimental)
repeat,route,direction,pattern,length,send_ticks,reply_ticks,elapsed_us,expected_bytes,actual_bytes,errors,status
0,0,duplex-forward,3,257,2,12,86943,257,257,0,0
0,0,duplex-reverse,3,256,2,12,85102,2048,2048,0,0
0,0,duplex-forward,3,4096,14,10,120953,4096,4096,0,0
0,0,duplex-reverse,3,256,14,10,85049,2048,2048,0,0
0,0,duplex-forward,3,65535,80,10,673218,65535,65535,0,0
0,0,duplex-reverse,3,256,80,10,85062,2048,2048,0,0
1,0,duplex-forward,3,257,0,10,86935,257,257,0,0
1,0,duplex-reverse,3,256,0,10,85096,2048,2048,0,0
1,0,duplex-forward,3,4096,14,10,120865,4096,4096,0,0
1,0,duplex-reverse,3,256,14,10,85024,2048,2048,0,0
1,0,duplex-forward,3,65535,80,10,673377,65535,65535,0,0
1,0,duplex-reverse,3,256,80,10,85109,2048,2048,0,0
2,0,duplex-forward,3,257,2,10,86817,257,257,0,0
2,0,duplex-reverse,3,256,2,10,85003,2048,2048,0,0
2,0,duplex-forward,3,4096,14,10,120831,4096,4096,0,0
2,0,duplex-reverse,3,256,14,10,85026,2048,2048,0,0
2,0,duplex-forward,3,65535,80,10,672734,65535,65535,0,0
2,0,duplex-reverse,3,256,80,10,84988,2048,2048,0,0
0,1,duplex-forward,3,257,12,12,116024,257,257,0,0
0,1,duplex-reverse,3,256,12,12,607,2048,2048,0,0
0,1,duplex-forward,3,4096,30,14,239046,4096,4096,0,0
0,1,duplex-reverse,3,256,30,14,592,2048,2048,0,0
0,1,duplex-forward,3,65535,266,14,2207120,65535,65535,0,0
0,1,duplex-reverse,3,256,266,14,664,2048,2048,0,0
1,1,duplex-forward,3,257,14,14,115983,257,257,0,0
1,1,duplex-reverse,3,256,14,14,613,2048,2048,0,0
1,1,duplex-forward,3,4096,30,14,239039,4096,4096,0,0
1,1,duplex-reverse,3,256,30,14,663,2048,2048,0,0
1,1,duplex-forward,3,65535,264,14,2207143,65535,65535,0,0
1,1,duplex-reverse,3,256,264,14,607,2048,2048,0,0
2,1,duplex-forward,3,257,14,14,116037,257,257,0,0
2,1,duplex-reverse,3,256,14,14,606,2048,2048,0,0
2,1,duplex-forward,3,4096,28,14,239036,4096,4096,0,0
2,1,duplex-reverse,3,256,28,14,596,2048,2048,0,0
2,1,duplex-forward,3,65535,264,12,2207052,65535,65535,0,0
2,1,duplex-reverse,3,256,264,12,606,2048,2048,0,0
# terminal,status=0,saved=36,recovery=0
