direction,route,pattern,length,forward_context_length,samples,metric,median_ms,min_ms,max_ms,sample_stdev_ms,range_percent,material_reduction_ms
duplex-forward,0,3,257,257,6,elapsed_us,86.9225,86.351,86.953,0.23413365129059657,0.6925709683913831,4.346125
duplex-forward,0,3,257,257,6,send_ticks,16.666666666666668,0.0,16.666666666666668,8.606629658238706,100.0,33.333333333333336
duplex-forward,0,3,257,257,6,reply_ticks,83.33333333333334,83.33333333333334,100.0,8.606629658238706,20.0,33.333333333333336
duplex-forward,0,3,4096,4096,6,elapsed_us,120.8955,120.787,120.953,0.06756256359848996,0.13730866740283965,6.0447750000000005
duplex-forward,0,3,4096,4096,6,send_ticks,116.66666666666667,116.66666666666667,116.66666666666667,0.0,0.0,33.333333333333336
duplex-forward,0,3,4096,4096,6,reply_ticks,83.33333333333334,83.33333333333334,83.33333333333334,0.0,0.0,33.333333333333336
duplex-forward,0,3,65535,65535,6,elapsed_us,672.814,672.562,673.3770000000001,0.3316659463978779,0.12113303230907799,33.6407
duplex-forward,0,3,65535,65535,6,send_ticks,666.6666666666667,666.6666666666667,683.3333333333334,8.606629658238706,2.5,33.333333333333336
duplex-forward,0,3,65535,65535,6,reply_ticks,83.33333333333334,83.33333333333334,100.0,6.804138174397718,20.0,33.333333333333336
duplex-forward,1,3,257,257,6,elapsed_us,116.0125,115.973,116.037,0.025905597850657686,0.05516646913048163,5.800625
duplex-forward,1,3,257,257,6,send_ticks,116.66666666666667,100.0,116.66666666666667,8.606629658238706,14.285714285714286,33.33333333333334
duplex-forward,1,3,257,257,6,reply_ticks,108.33333333333334,100.0,116.66666666666667,9.128709291752768,15.384615384615385,33.33333333333334
duplex-forward,1,3,4096,4096,6,elapsed_us,239.038,239.036,239.046,0.0035777087639996636,0.004183435269706072,11.951900000000002
duplex-forward,1,3,4096,4096,6,send_ticks,241.66666666666669,233.33333333333334,250.00000000000003,9.128709291752768,6.896551724137931,33.33333333333337
duplex-forward,1,3,4096,4096,6,reply_ticks,116.66666666666667,100.0,116.66666666666667,6.804138174397718,14.285714285714286,33.33333333333334
duplex-forward,1,3,65535,65535,6,elapsed_us,2207.1115,2207.052,2207.143,0.03967366884975475,0.004123035922743368,110.355575
duplex-forward,1,3,65535,65535,6,send_ticks,2200.0,2200.0,2216.666666666667,6.804138174397718,0.7575757575757576,110.0
duplex-forward,1,3,65535,65535,6,reply_ticks,108.33333333333334,100.0,116.66666666666667,9.128709291752768,15.384615384615385,33.33333333333334
duplex-reverse,0,3,256,257,6,elapsed_us,85.077,85.003,85.112,0.04122337524592894,0.1281192331652503,4.25385
duplex-reverse,0,3,256,257,6,send_ticks,16.666666666666668,0.0,16.666666666666668,8.606629658238706,100.0,33.333333333333336
duplex-reverse,0,3,256,257,6,reply_ticks,83.33333333333334,83.33333333333334,100.0,8.606629658238706,20.0,33.333333333333336
duplex-reverse,0,3,256,4096,6,elapsed_us,85.0325,85.007,85.08200000000001,0.025918461888520056,0.08820156998794579,4.251625
duplex-reverse,0,3,256,4096,6,send_ticks,116.66666666666667,116.66666666666667,116.66666666666667,0.0,0.0,33.333333333333336
duplex-reverse,0,3,256,4096,6,reply_ticks,83.33333333333334,83.33333333333334,83.33333333333334,0.0,0.0,33.333333333333336
duplex-reverse,0,3,256,65535,6,elapsed_us,85.068,84.988,85.10900000000001,0.04417993511388022,0.1422391498565853,4.2534
duplex-reverse,0,3,256,65535,6,send_ticks,666.6666666666667,666.6666666666667,683.3333333333334,8.606629658238706,2.5,33.333333333333336
duplex-reverse,0,3,256,65535,6,reply_ticks,83.33333333333334,83.33333333333334,100.0,6.804138174397718,20.0,33.333333333333336
duplex-reverse,1,3,256,257,6,elapsed_us,0.608,0.603,0.614,0.004226897995772629,1.8092105263157894,0.0304
duplex-reverse,1,3,256,257,6,send_ticks,116.66666666666667,100.0,116.66666666666667,8.606629658238706,14.285714285714286,33.33333333333334
duplex-reverse,1,3,256,257,6,reply_ticks,108.33333333333334,100.0,116.66666666666667,9.128709291752768,15.384615384615385,33.33333333333334
duplex-reverse,1,3,256,4096,6,elapsed_us,0.6035,0.592,0.663,0.02613809480432727,11.764705882352942,0.14200000000000013
duplex-reverse,1,3,256,4096,6,send_ticks,241.66666666666669,233.33333333333334,250.00000000000003,9.128709291752768,6.896551724137931,33.33333333333337
duplex-reverse,1,3,256,4096,6,reply_ticks,116.66666666666667,100.0,116.66666666666667,6.804138174397718,14.285714285714286,33.33333333333334
duplex-reverse,1,3,256,65535,6,elapsed_us,0.6065,0.595,0.664,0.025382408606487026,11.376751854905194,0.13800000000000012
duplex-reverse,1,3,256,65535,6,send_ticks,2200.0,2200.0,2216.666666666667,6.804138174397718,0.7575757575757576,110.0
duplex-reverse,1,3,256,65535,6,reply_ticks,108.33333333333334,100.0,116.66666666666667,9.128709291752768,15.384615384615385,33.33333333333334
forward,0,0,0,0,6,elapsed_us,0.439,0.424,0.52,0.03479319856906902,21.867881548974943,0.19200000000000006
forward,0,0,0,0,6,send_ticks,0.0,0.0,0.0,0.0,,
forward,0,0,0,0,6,reply_ticks,0.0,0.0,0.0,0.0,,
forward,0,0,1,1,6,elapsed_us,0.731,0.678,0.778,0.03866997112316825,13.679890560875513,0.19999999999999996
forward,0,0,1,1,6,send_ticks,0.0,0.0,0.0,0.0,,
forward,0,0,1,1,6,reply_ticks,0.0,0.0,0.0,0.0,,
forward,0,0,63,63,6,elapsed_us,1.1615,1.159,1.274,0.04773014421376356,9.900990099009901,0.22999999999999998
forward,0,0,63,63,6,send_ticks,0.0,0.0,0.0,0.0,,
forward,0,0,63,63,6,reply_ticks,0.0,0.0,0.0,0.0,,
forward,0,0,64,64,6,elapsed_us,1.1925000000000001,1.165,1.223,0.027626074639731213,4.863731656184487,0.1160000000000001
forward,0,0,64,64,6,send_ticks,0.0,0.0,0.0,0.0,,
forward,0,0,64,64,6,reply_ticks,0.0,0.0,16.666666666666668,6.804138174397718,,
forward,0,0,65,65,6,elapsed_us,1.1895,1.143,1.238,0.03980284746932896,7.9865489701555274,0.18999999999999995
forward,0,0,65,65,6,send_ticks,0.0,0.0,16.666666666666668,6.804138174397718,,
forward,0,0,65,65,6,reply_ticks,0.0,0.0,0.0,0.0,,
forward,0,0,255,255,6,elapsed_us,2.813,2.801,2.818,0.006493586579592719,0.6043370067543548,0.14065000000000003
forward,0,0,255,255,6,send_ticks,8.333333333333334,0.0,16.666666666666668,9.128709291752768,200.0,33.333333333333336
forward,0,0,255,255,6,reply_ticks,0.0,0.0,0.0,0.0,,
forward,0,0,256,256,6,elapsed_us,2.813,2.805,2.839,0.013437509689918987,1.2086740135087095,0.14065000000000003
forward,0,0,256,256,6,send_ticks,0.0,0.0,16.666666666666668,6.804138174397718,,
forward,0,0,256,256,6,reply_ticks,0.0,0.0,0.0,0.0,,
forward,0,0,257,257,6,elapsed_us,2.8225000000000002,2.814,2.843,0.011260550608207397,1.0274579273693534,0.14112500000000003
forward,0,0,257,257,6,send_ticks,0.0,0.0,0.0,0.0,,
forward,0,0,257,257,6,reply_ticks,0.0,0.0,0.0,0.0,,
forward,0,0,4095,4095,6,elapsed_us,37.4465,37.418,37.47,0.023373061416938946,0.13886478042006595,1.872325
forward,0,0,4095,4095,6,send_ticks,33.333333333333336,33.333333333333336,33.333333333333336,0.0,0.0,33.333333333333336
forward,0,0,4095,4095,6,reply_ticks,0.0,0.0,16.666666666666668,8.606629658238706,,
forward,0,0,4096,4096,6,elapsed_us,37.4395,37.409,37.476,0.027330690929185577,0.1789553813485757,1.8719750000000002
forward,0,0,4096,4096,6,send_ticks,33.333333333333336,33.333333333333336,50.0,6.804138174397718,50.0,33.333333333333336
forward,0,0,4096,4096,6,reply_ticks,0.0,0.0,0.0,0.0,,
forward,0,0,4097,4097,6,elapsed_us,37.444,37.387,37.506,0.04027240577202542,0.3178079265035787,1.8722000000000003
forward,0,0,4097,4097,6,send_ticks,33.333333333333336,33.333333333333336,50.0,6.804138174397718,50.0,33.333333333333336
forward,0,0,4097,4097,6,reply_ticks,0.0,0.0,16.666666666666668,6.804138174397718,,
forward,0,0,32768,32768,6,elapsed_us,295.9515,295.88800000000003,296.195,0.11622162736197883,0.10373321304335338,14.797575000000002
forward,0,0,32768,32768,6,send_ticks,300.0,283.33333333333337,300.0,6.804138174397718,5.555555555555555,33.333333333333336
forward,0,0,32768,32768,6,reply_ticks,0.0,0.0,16.666666666666668,6.804138174397718,,
forward,0,0,65535,65535,6,elapsed_us,591.227,591.089,591.365,0.10631588153548212,0.04668257708122261,29.56135
