# uart-data-probe-r01-b2026-09-13-21-30-31Z (experimental)
repeat,route,direction,pattern,length,send_ticks,reply_ticks,elapsed_us,expected_bytes,actual_bytes,errors,status
0,0,forward,0,0,0,0,427,0,0,0,0
0,0,forward,0,1,0,0,756,1,1,0,0
0,0,forward,0,63,0,0,1145,63,63,0,0
0,0,forward,0,64,0,0,1159,64,64,0,0
0,0,forward,0,65,2,0,1170,65,65,0,0
0,0,forward,0,255,0,0,2809,255,255,0,0
0,0,forward,0,256,2,0,2859,256,256,0,0
0,0,forward,0,257,0,0,2809,257,257,0,0
0,0,forward,0,4095,4,0,37389,4095,4095,0,0
0,0,forward,0,4096,6,0,37418,4096,4096,0,0
0,0,forward,0,4097,4,0,37451,4097,4097,0,0
0,0,forward,0,32768,36,0,296001,32768,32768,0,0
0,0,forward,0,65535,70,2,591049,65535,65535,0,0
0,0,forward,1,0,0,0,439,0,0,0,0
0,0,forward,1,1,0,0,668,1,1,0,0
0,0,forward,1,63,0,0,1233,63,63,0,0
0,0,forward,1,64,0,0,1141,64,64,0,0
0,0,forward,1,65,0,0,1165,65,65,0,0
0,0,forward,1,255,0,0,2769,255,255,0,0
0,0,forward,1,256,0,0,2792,256,256,0,0
0,0,forward,1,257,0,0,2790,257,257,0,0
0,0,forward,1,4095,4,0,36926,4095,4095,0,0
0,0,forward,1,4096,4,0,36975,4096,4096,0,0
0,0,forward,1,4097,4,0,36947,4097,4097,0,0
0,0,forward,1,32768,34,0,292248,32768,32768,0,0
0,0,forward,1,65535,70,0,583818,65535,65535,0,0
0,0,forward,2,0,0,0,456,0,0,0,0
0,0,forward,2,1,0,0,749,1,1,0,0
0,0,forward,2,63,0,0,1278,63,63,0,0
0,0,forward,2,64,0,2,1156,64,64,0,0
0,0,forward,2,65,0,0,1257,65,65,0,0
0,0,forward,2,255,0,0,2787,255,255,0,0
0,0,forward,2,256,0,0,2804,256,256,0,0
0,0,forward,2,257,0,0,2811,257,257,0,0
0,0,forward,2,4095,4,0,37264,4095,4095,0,0
0,0,forward,2,4096,4,0,37281,4096,4096,0,0
0,0,forward,2,4097,4,0,37310,4097,4097,0,0
0,0,forward,2,32768,36,0,294995,32768,32768,0,0
0,0,forward,2,65535,72,2,589327,65535,65535,0,0
0,0,forward,3,0,0,0,441,0,0,0,0
0,0,forward,3,1,0,0,685,1,1,0,0
0,0,forward,3,63,2,0,1207,63,63,0,0
0,0,forward,3,64,0,0,1301,64,64,0,0
0,0,forward,3,65,0,0,1191,65,65,0,0
0,0,forward,3,255,0,0,2791,255,255,0,0
0,0,forward,3,256,0,0,2795,256,256,0,0
0,0,forward,3,257,2,0,2802,257,257,0,0
0,0,forward,3,4095,4,0,37309,4095,4095,0,0
0,0,forward,3,4096,4,0,37325,4096,4096,0,0
0,0,forward,3,4097,4,0,37364,4097,4097,0,0
0,0,forward,3,32768,36,0,295182,32768,32768,0,0
0,0,forward,3,65535,70,2,589765,65535,65535,0,0
1,0,forward,0,0,0,0,439,0,0,0,0
1,0,forward,0,1,0,0,677,1,1,0,0
1,0,forward,0,63,0,0,1170,63,63,0,0
1,0,forward,0,64,0,0,1168,64,64,0,0
1,0,forward,0,65,0,0,1176,65,65,0,0
1,0,forward,0,255,0,0,2781,255,255,0,0
1,0,forward,0,256,0,0,2822,256,256,0,0
1,0,forward,0,257,0,0,2806,257,257,0,0
1,0,forward,0,4095,4,0,37436,4095,4095,0,0
1,0,forward,0,4096,4,0,37390,4096,4096,0,0
1,0,forward,0,4097,6,0,37395,4097,4097,0,0
1,0,forward,0,32768,34,2,295973,32768,32768,0,0
1,0,forward,0,65535,72,0,591131,65535,65535,0,0
1,0,forward,1,0,0,0,439,0,0,0,0
1,0,forward,1,1,0,0,674,1,1,0,0
1,0,forward,1,63,0,0,1168,63,63,0,0
1,0,forward,1,64,2,0,1174,64,64,0,0
1,0,forward,1,65,0,0,1278,65,65,0,0
1,0,forward,1,255,0,0,2792,255,255,0,0
1,0,forward,1,256,0,0,2776,256,256,0,0
1,0,forward,1,257,2,0,2824,257,257,0,0
1,0,forward,1,4095,4,0,36949,4095,4095,0,0
1,0,forward,1,4096,6,0,36963,4096,4096,0,0
1,0,forward,1,4097,4,0,36983,4097,4097,0,0
1,0,forward,1,32768,36,0,292296,32768,32768,0,0
1,0,forward,1,65535,70,2,583774,65535,65535,0,0
1,0,forward,2,0,0,0,442,0,0,0,0
1,0,forward,2,1,0,0,672,1,1,0,0
1,0,forward,2,63,0,0,1241,63,63,0,0
1,0,forward,2,64,0,0,1194,64,64,0,0
1,0,forward,2,65,0,0,1239,65,65,0,0
1,0,forward,2,255,0,0,2786,255,255,0,0
1,0,forward,2,256,0,0,2789,256,256,0,0
1,0,forward,2,257,0,2,2824,257,257,0,0
1,0,forward,2,4095,4,0,37263,4095,4095,0,0
1,0,forward,2,4096,4,0,37313,4096,4096,0,0
1,0,forward,2,4097,6,0,37353,4097,4097,0,0
1,0,forward,2,32768,34,2,294978,32768,32768,0,0
1,0,forward,2,65535,70,2,589135,65535,65535,0,0
1,0,forward,3,0,0,0,487,0,0,0,0
1,0,forward,3,1,0,0,673,1,1,0,0
1,0,forward,3,63,0,0,1142,63,63,0,0
1,0,forward,3,64,0,2,1113,64,64,0,0
1,0,forward,3,65,0,0,1191,65,65,0,0
1,0,forward,3,255,0,0,2791,255,255,0,0
1,0,forward,3,256,0,0,2804,256,256,0,0
1,0,forward,3,257,0,0,2807,257,257,0,0
1,0,forward,3,4095,4,0,37324,4095,4095,0,0
1,0,forward,3,4096,6,0,37320,4096,4096,0,0
1,0,forward,3,4097,4,0,37295,4097,4097,0,0
1,0,forward,3,32768,34,2,295212,32768,32768,0,0
1,0,forward,3,65535,70,2,589591,65535,65535,0,0
2,0,forward,0,0,0,0,499,0,0,0,0
2,0,forward,0,1,0,0,750,1,1,0,0
2,0,forward,0,63,0,0,1138,63,63,0,0
2,0,forward,0,64,0,0,1139,64,64,0,0
2,0,forward,0,65,0,2,1168,65,65,0,0
2,0,forward,0,255,0,0,2798,255,255,0,0
2,0,forward,0,256,2,0,2818,256,256,0,0
2,0,forward,0,257,0,0,2828,257,257,0,0
2,0,forward,0,4095,4,0,37421,4095,4095,0,0
2,0,forward,0,4096,4,0,37416,4096,4096,0,0
2,0,forward,0,4097,6,0,37429,4097,4097,0,0
2,0,forward,0,32768,34,2,295858,32768,32768,0,0
2,0,forward,0,65535,72,0,590987,65535,65535,0,0
2,0,forward,1,0,0,0,526,0,0,0,0
2,0,forward,1,1,0,0,687,1,1,0,0
2,0,forward,1,63,0,0,1171,63,63,0,0
2,0,forward,1,64,2,0,1186,64,64,0,0
2,0,forward,1,65,0,0,1163,65,65,0,0
2,0,forward,1,255,0,0,2781,255,255,0,0
2,0,forward,1,256,0,0,2790,256,256,0,0
2,0,forward,1,257,0,0,2793,257,257,0,0
2,0,forward,1,4095,4,0,36945,4095,4095,0,0
2,0,forward,1,4096,6,0,36980,4096,4096,0,0
2,0,forward,1,4097,4,0,36993,4097,4097,0,0
2,0,forward,1,32768,36,0,292302,32768,32768,0,0
2,0,forward,1,65535,70,2,583620,65535,65535,0,0
2,0,forward,2,0,0,0,459,0,0,0,0
2,0,forward,2,1,0,0,674,1,1,0,0
2,0,forward,2,63,0,0,1241,63,63,0,0
2,0,forward,2,64,0,0,1163,64,64,0,0
2,0,forward,2,65,0,0,1223,65,65,0,0
2,0,forward,2,255,0,0,2775,255,255,0,0
2,0,forward,2,256,0,0,2796,256,256,0,0
