# uart-data-probe-r01-b2026-09-13-21-30-31Z (experimental)
repeat,route,direction,pattern,length,send_ticks,reply_ticks,elapsed_us,expected_bytes,actual_bytes,errors,status
0,0,duplex-forward,3,257,0,10,86863,257,257,0,0
0,0,duplex-reverse,3,256,0,10,85041,2048,2048,0,0
0,0,duplex-forward,3,4096,14,10,120277,4096,4096,0,0
0,0,duplex-reverse,3,256,14,10,85108,2048,2048,0,0
0,0,duplex-forward,3,65535,82,10,672758,65535,65535,0,0
0,0,duplex-reverse,3,256,82,10,85136,2048,2048,0,0
1,0,duplex-forward,3,257,0,10,86862,257,257,0,0
1,0,duplex-reverse,3,256,0,10,84997,2048,2048,0,0
1,0,duplex-forward,3,4096,14,10,120847,4096,4096,0,0
1,0,duplex-reverse,3,256,14,10,85018,2048,2048,0,0
1,0,duplex-forward,3,65535,80,10,672634,65535,65535,0,0
1,0,duplex-reverse,3,256,80,10,85063,2048,2048,0,0
2,0,duplex-forward,3,257,2,12,86882,257,257,0,0
2,0,duplex-reverse,3,256,2,12,84959,2048,2048,0,0
2,0,duplex-forward,3,4096,14,10,120875,4096,4096,0,0
2,0,duplex-reverse,3,256,14,10,85012,2048,2048,0,0
2,0,duplex-forward,3,65535,80,10,672742,65535,65535,0,0
2,0,duplex-reverse,3,256,80,10,85113,2048,2048,0,0
0,1,duplex-forward,3,257,4,14,111993,257,257,0,0
0,1,duplex-reverse,3,256,4,14,607,2048,2048,0,0
0,1,duplex-forward,3,4096,22,14,173051,4096,4096,0,0
0,1,duplex-reverse,3,256,22,14,594,2048,2048,0,0
0,1,duplex-forward,3,65535,178,12,1482078,65535,65535,0,0
0,1,duplex-reverse,3,256,178,12,603,2048,2048,0,0
1,1,duplex-forward,3,257,2,12,112007,257,257,0,0
1,1,duplex-reverse,3,256,2,12,628,2048,2048,0,0
1,1,duplex-forward,3,4096,20,12,173037,4096,4096,0,0
1,1,duplex-reverse,3,256,20,12,621,2048,2048,0,0
1,1,duplex-forward,3,65535,178,14,1482096,65535,65535,0,0
1,1,duplex-reverse,3,256,178,14,615,2048,2048,0,0
2,1,duplex-forward,3,257,4,14,112009,257,257,0,0
2,1,duplex-reverse,3,256,4,14,626,2048,2048,0,0
2,1,duplex-forward,3,4096,20,12,173044,4096,4096,0,0
2,1,duplex-reverse,3,256,20,12,613,2048,2048,0,0
2,1,duplex-forward,3,65535,178,12,1482066,65535,65535,0,0
2,1,duplex-reverse,3,256,178,12,592,2048,2048,0,0
# terminal,status=0,saved=36,recovery=0
