# integ014-dual-uart-r01-b2026-09-14-06-55-52Z; ROM agon-emos-v0.1.17-b2026-09-14-05-58-35Z
repeat,load,kind,length,total_ticks,send_ticks,reply_ticks,endpoint_us,uart0_irqs,uart1_irqs,uart0_bytes,queries,uart0_errors,uart1_errors,status,restored
# native IRQ owners; no IRQ counts or UART0 payload validation
0,0,1,256,14,0,14,605,0,0,0,0,0,0,0,0
0,0,0,4096,10,10,10,89868,0,0,0,0,0,0,0,0
0,0,0,65535,170,170,170,1409930,0,0,0,0,0,0,0,0
0,1,1,256,14,0,14,613,0,0,0,7,0,0,0,0
0,1,0,4096,12,12,12,90865,0,0,0,6,0,0,0,0
0,1,0,65535,172,170,172,1424059,0,0,0,86,0,0,0,0
1,0,1,256,14,0,14,622,0,0,0,0,0,0,0,0
1,0,0,4096,12,12,12,90035,0,0,0,0,0,0,0,0
1,0,0,65535,170,170,170,1409887,0,0,0,0,0,0,0,0
1,1,1,256,14,0,14,620,0,0,0,8,0,0,0,0
1,1,0,4096,10,10,10,90919,0,0,0,6,0,0,0,0
1,1,0,65535,172,172,172,1423925,0,0,0,86,0,0,0,0
2,0,1,256,14,0,14,618,0,0,0,0,0,0,0,0
2,0,0,4096,12,12,12,89901,0,0,0,0,0,0,0,0
2,0,0,65535,170,170,170,1409907,0,0,0,0,0,0,0,0
2,1,1,256,12,0,12,620,0,0,0,7,0,0,0,0
2,1,0,4096,12,10,12,90917,0,0,0,6,0,0,0,0
2,1,0,65535,172,170,172,1423917,0,0,0,86,0,0,0,0
# terminal,status=0,saved=18,failures=0,recovery=0
