# uart-data-probe-r01-b2026-09-13-21-30-31Z (experimental)
repeat,route,direction,pattern,length,send_ticks,reply_ticks,elapsed_us,expected_bytes,actual_bytes,errors,status
0,0,forward,0,0,0,0,506,0,0,0,0
0,0,forward,0,1,0,0,703,1,1,0,0
0,0,forward,0,63,0,0,1197,63,63,0,0
0,0,forward,0,64,0,0,1165,64,64,0,0
0,0,forward,0,65,0,0,1171,65,65,0,0
0,0,forward,0,255,0,0,2800,255,255,0,0
0,0,forward,0,256,0,0,2807,256,256,0,0
0,0,forward,0,257,0,0,2820,257,257,0,0
0,0,forward,0,4095,4,0,37374,4095,4095,0,0
0,0,forward,0,4096,4,0,37411,4096,4096,0,0
0,0,forward,0,4097,4,0,37443,4097,4097,0,0
0,0,forward,0,32768,34,2,295985,32768,32768,0,0
0,0,forward,0,65535,70,2,591115,65535,65535,0,0
0,0,forward,1,0,0,0,420,0,0,0,0
0,0,forward,1,1,0,0,741,1,1,0,0
0,0,forward,1,63,0,0,1229,63,63,0,0
0,0,forward,1,64,0,2,1282,64,64,0,0
0,0,forward,1,65,0,0,1210,65,65,0,0
0,0,forward,1,255,2,0,2776,255,255,0,0
0,0,forward,1,256,0,0,2746,256,256,0,0
0,0,forward,1,257,0,0,2801,257,257,0,0
0,0,forward,1,4095,4,0,36963,4095,4095,0,0
0,0,forward,1,4096,4,0,36996,4096,4096,0,0
0,0,forward,1,4097,4,0,36997,4097,4097,0,0
0,0,forward,1,32768,34,2,292200,32768,32768,0,0
0,0,forward,1,65535,70,2,583622,65535,65535,0,0
0,0,forward,2,0,0,0,442,0,0,0,0
0,0,forward,2,1,0,0,675,1,1,0,0
0,0,forward,2,63,0,0,1240,63,63,0,0
0,0,forward,2,64,0,0,1165,64,64,0,0
0,0,forward,2,65,0,0,1166,65,65,0,0
0,0,forward,2,255,0,0,2792,255,255,0,0
0,0,forward,2,256,0,0,2789,256,256,0,0
0,0,forward,2,257,0,0,2804,257,257,0,0
0,0,forward,2,4095,6,0,37306,4095,4095,0,0
0,0,forward,2,4096,4,0,37319,4096,4096,0,0
0,0,forward,2,4097,4,0,37311,4097,4097,0,0
0,0,forward,2,32768,36,0,295043,32768,32768,0,0
0,0,forward,2,65535,70,2,589172,65535,65535,0,0
0,0,forward,3,0,0,0,434,0,0,0,0
0,0,forward,3,1,0,0,674,1,1,0,0
0,0,forward,3,63,0,0,1218,63,63,0,0
0,0,forward,3,64,0,0,1151,64,64,0,0
0,0,forward,3,65,0,0,1227,65,65,0,0
0,0,forward,3,255,0,0,2769,255,255,0,0
0,0,forward,3,256,0,0,2801,256,256,0,0
0,0,forward,3,257,0,0,2736,257,257,0,0
0,0,forward,3,4095,4,0,37298,4095,4095,0,0
0,0,forward,3,4096,6,0,37324,4096,4096,0,0
0,0,forward,3,4097,4,2,37345,4097,4097,0,0
0,0,forward,3,32768,36,0,295178,32768,32768,0,0
0,0,forward,3,65535,70,2,589850,65535,65535,0,0
1,0,forward,0,0,0,0,431,0,0,0,0
1,0,forward,0,1,0,0,763,1,1,0,0
1,0,forward,0,63,0,0,1245,63,63,0,0
1,0,forward,0,64,2,0,1115,64,64,0,0
1,0,forward,0,65,0,0,1163,65,65,0,0
1,0,forward,0,255,2,0,2829,255,255,0,0
1,0,forward,0,256,0,0,2804,256,256,0,0
1,0,forward,0,257,0,0,2817,257,257,0,0
1,0,forward,0,4095,4,0,37413,4095,4095,0,0
1,0,forward,0,4096,6,0,37371,4096,4096,0,0
1,0,forward,0,4097,4,0,37447,4097,4097,0,0
1,0,forward,0,32768,36,0,295901,32768,32768,0,0
1,0,forward,0,65535,72,2,591060,65535,65535,0,0
1,0,forward,1,0,0,0,493,0,0,0,0
1,0,forward,1,1,0,0,751,1,1,0,0
1,0,forward,1,63,0,0,1214,63,63,0,0
1,0,forward,1,64,0,0,1241,64,64,0,0
1,0,forward,1,65,0,0,1208,65,65,0,0
1,0,forward,1,255,0,0,2772,255,255,0,0
1,0,forward,1,256,0,0,2783,256,256,0,0
1,0,forward,1,257,0,0,2683,257,257,0,0
1,0,forward,1,4095,6,0,36958,4095,4095,0,0
