# uart-data-probe-r01-b2026-09-13-21-30-31Z (experimental)
repeat,route,direction,pattern,length,send_ticks,reply_ticks,elapsed_us,expected_bytes,actual_bytes,errors,status
0,0,duplex-forward,3,257,0,10,86842,257,257,0,0
0,0,duplex-reverse,3,256,0,10,84989,2048,2048,0,0
0,0,duplex-forward,3,4096,14,10,119051,4096,4096,0,0
0,0,duplex-reverse,3,256,14,10,83215,2048,2048,0,0
0,0,duplex-forward,3,65535,80,10,672667,65535,65535,0,0
0,0,duplex-reverse,3,256,80,10,85108,2048,2048,0,0
1,0,duplex-forward,3,257,0,10,86803,257,257,0,0
1,0,duplex-reverse,3,256,0,10,85019,2048,2048,0,0
1,0,duplex-forward,3,4096,14,10,120726,4096,4096,0,0
1,0,duplex-reverse,3,256,14,10,85007,2048,2048,0,0
1,0,duplex-forward,3,65535,80,10,672683,65535,65535,0,0
1,0,duplex-reverse,3,256,80,10,85042,2048,2048,0,0
2,0,duplex-forward,3,257,0,10,86798,257,257,0,0
2,0,duplex-reverse,3,256,0,10,84929,2048,2048,0,0
2,0,duplex-forward,3,4096,14,10,120862,4096,4096,0,0
2,0,duplex-reverse,3,256,14,10,85005,2048,2048,0,0
2,0,duplex-forward,3,65535,80,10,672728,65535,65535,0,0
2,0,duplex-reverse,3,256,80,10,85021,2048,2048,0,0
0,1,duplex-forward,3,257,0,10,90000,257,257,0,0
0,1,duplex-reverse,3,256,0,10,608,2048,2048,0,0
0,1,duplex-forward,3,4096,14,12,109038,4096,4096,0,0
0,1,duplex-reverse,3,256,14,12,595,2048,2048,0,0
0,1,duplex-forward,3,65535,78,10,659179,65535,65535,0,0
0,1,duplex-reverse,3,256,78,10,596,2048,2048,0,0
1,1,duplex-forward,3,257,0,10,90010,257,257,0,0
1,1,duplex-reverse,3,256,0,10,613,2048,2048,0,0
1,1,duplex-forward,3,4096,12,10,108999,4096,4096,0,0
1,1,duplex-reverse,3,256,12,10,596,2048,2048,0,0
1,1,duplex-forward,3,65535,80,12,659073,65535,65535,0,0
1,1,duplex-reverse,3,256,80,12,607,2048,2048,0,0
2,1,duplex-forward,3,257,0,10,90004,257,257,0,0
2,1,duplex-reverse,3,256,0,10,587,2048,2048,0,0
2,1,duplex-forward,3,4096,14,12,109018,4096,4096,0,0
2,1,duplex-reverse,3,256,14,12,601,2048,2048,0,0
2,1,duplex-forward,3,65535,78,10,659059,65535,65535,0,0
2,1,duplex-reverse,3,256,78,10,604,2048,2048,0,0
# terminal,status=0,saved=36,recovery=0
