# uart-data-probe-r01-b2026-09-13-21-30-31Z (experimental)
repeat,route,direction,pattern,length,send_ticks,reply_ticks,elapsed_us,expected_bytes,actual_bytes,errors,status
0,0,duplex-forward,3,257,0,10,86865,257,257,0,0
0,0,duplex-reverse,3,256,0,10,85060,2048,2048,0,0
0,0,duplex-forward,3,4096,14,10,120811,4096,4096,0,0
0,0,duplex-reverse,3,256,14,10,85018,2048,2048,0,0
0,0,duplex-forward,3,65535,80,10,672807,65535,65535,0,0
0,0,duplex-reverse,3,256,80,10,85048,2048,2048,0,0
1,0,duplex-forward,3,257,2,12,86921,257,257,0,0
1,0,duplex-reverse,3,256,2,12,85084,2048,2048,0,0
1,0,duplex-forward,3,4096,14,10,120913,4096,4096,0,0
1,0,duplex-reverse,3,256,14,10,85123,2048,2048,0,0
1,0,duplex-forward,3,65535,80,10,672974,65535,65535,0,0
1,0,duplex-reverse,3,256,80,10,85103,2048,2048,0,0
2,0,duplex-forward,3,257,2,10,86826,257,257,0,0
2,0,duplex-reverse,3,256,2,10,85007,2048,2048,0,0
2,0,duplex-forward,3,4096,16,12,120882,4096,4096,0,0
2,0,duplex-reverse,3,256,16,12,85012,2048,2048,0,0
2,0,duplex-forward,3,65535,82,10,673144,65535,65535,0,0
2,0,duplex-reverse,3,256,82,10,85006,2048,2048,0,0
0,1,duplex-forward,3,257,2,12,91978,257,257,0,0
0,1,duplex-reverse,3,256,2,12,605,2048,2048,0,0
0,1,duplex-forward,3,4096,14,12,110036,4096,4096,0,0
0,1,duplex-reverse,3,256,14,12,598,2048,2048,0,0
0,1,duplex-forward,3,65535,80,12,661067,65535,65535,0,0
0,1,duplex-reverse,3,256,80,12,597,2048,2048,0,0
1,1,duplex-forward,3,257,0,10,91997,257,257,0,0
1,1,duplex-reverse,3,256,0,10,601,2048,2048,0,0
1,1,duplex-forward,3,4096,12,10,110041,4096,4096,0,0
1,1,duplex-reverse,3,256,12,10,598,2048,2048,0,0
1,1,duplex-forward,3,65535,80,12,661065,65535,65535,0,0
1,1,duplex-reverse,3,256,80,12,605,2048,2048,0,0
2,1,duplex-forward,3,257,0,10,91988,257,257,0,0
2,1,duplex-reverse,3,256,0,10,613,2048,2048,0,0
2,1,duplex-forward,3,4096,14,12,110048,4096,4096,0,0
2,1,duplex-reverse,3,256,14,12,608,2048,2048,0,0
2,1,duplex-forward,3,65535,78,10,661217,65535,65535,0,0
2,1,duplex-reverse,3,256,78,10,620,2048,2048,0,0
# terminal,status=0,saved=36,recovery=0
