# uart-data-probe-r01-b2026-09-13-21-30-31Z (experimental)
repeat,route,direction,pattern,length,send_ticks,reply_ticks,elapsed_us,expected_bytes,actual_bytes,errors,status
0,0,forward,0,0,0,0,432,0,0,0,0
0,0,forward,0,1,0,0,736,1,1,0,0
0,0,forward,0,63,0,0,1190,63,63,0,0
0,0,forward,0,64,0,0,1163,64,64,0,0
0,0,forward,0,65,0,0,1272,65,65,0,0
0,0,forward,0,255,0,2,2814,255,255,0,0
0,0,forward,0,256,0,0,2805,256,256,0,0
0,0,forward,0,257,2,0,2814,257,257,0,0
0,0,forward,0,4095,4,0,37434,4095,4095,0,0
0,0,forward,0,4096,4,0,37398,4096,4096,0,0
0,0,forward,0,4097,4,2,37425,4097,4097,0,0
0,0,forward,0,32768,34,2,295998,32768,32768,0,0
0,0,forward,0,65535,72,0,591032,65535,65535,0,0
0,0,forward,1,0,0,0,420,0,0,0,0
0,0,forward,1,1,0,0,736,1,1,0,0
0,0,forward,1,63,0,0,1137,63,63,0,0
0,0,forward,1,64,0,0,1141,64,64,0,0
0,0,forward,1,65,0,0,1249,65,65,0,0
0,0,forward,1,255,2,0,2794,255,255,0,0
0,0,forward,1,256,0,0,2781,256,256,0,0
0,0,forward,1,257,0,0,2782,257,257,0,0
0,0,forward,1,4095,4,0,36934,4095,4095,0,0
0,0,forward,1,4096,4,0,36941,4096,4096,0,0
0,0,forward,1,4097,4,0,36972,4097,4097,0,0
0,0,forward,1,32768,34,0,292277,32768,32768,0,0
0,0,forward,1,65535,70,0,583816,65535,65535,0,0
0,0,forward,2,0,0,0,432,0,0,0,0
0,0,forward,2,1,0,0,764,1,1,0,0
0,0,forward,2,63,0,0,1284,63,63,0,0
0,0,forward,2,64,0,0,1151,64,64,0,0
0,0,forward,2,65,0,0,1162,65,65,0,0
0,0,forward,2,255,2,0,2808,255,255,0,0
0,0,forward,2,256,0,0,2816,256,256,0,0
0,0,forward,2,257,0,0,2810,257,257,0,0
0,0,forward,2,4095,6,0,37317,4095,4095,0,0
0,0,forward,2,4096,6,0,37307,4096,4096,0,0
0,0,forward,2,4097,4,0,37322,4097,4097,0,0
0,0,forward,2,32768,34,2,295031,32768,32768,0,0
0,0,forward,2,65535,70,2,589222,65535,65535,0,0
0,0,forward,3,0,0,0,440,0,0,0,0
0,0,forward,3,1,0,2,689,1,1,0,0
0,0,forward,3,63,0,0,1202,63,63,0,0
0,0,forward,3,64,2,0,1147,64,64,0,0
0,0,forward,3,65,0,0,1249,65,65,0,0
