# uart-data-probe-r01-b2026-09-13-21-30-31Z (experimental)
repeat,route,direction,pattern,length,send_ticks,reply_ticks,elapsed_us,expected_bytes,actual_bytes,errors,status
0,0,duplex-forward,3,257,0,10,86863,257,257,0,0
0,0,duplex-reverse,3,256,0,10,85041,2048,2048,0,0
0,0,duplex-forward,3,4096,14,10,120675,4096,4096,0,0
0,0,duplex-reverse,3,256,14,10,84963,2048,2048,0,0
0,0,duplex-forward,3,65535,80,10,672608,65535,65535,0,0
0,0,duplex-reverse,3,256,80,10,85022,2048,2048,0,0
1,0,duplex-forward,3,257,2,10,86862,257,257,0,0
1,0,duplex-reverse,3,256,2,10,84982,2048,2048,0,0
1,0,duplex-forward,3,4096,14,10,120854,4096,4096,0,0
1,0,duplex-reverse,3,256,14,10,85023,2048,2048,0,0
1,0,duplex-forward,3,65535,82,12,673152,65535,65535,0,0
1,0,duplex-reverse,3,256,82,12,85031,2048,2048,0,0
2,0,duplex-forward,3,257,0,10,86875,257,257,0,0
2,0,duplex-reverse,3,256,0,10,85032,2048,2048,0,0
2,0,duplex-forward,3,4096,16,12,120797,4096,4096,0,0
2,0,duplex-reverse,3,256,16,12,84986,2048,2048,0,0
2,0,duplex-forward,3,65535,80,10,672583,65535,65535,0,0
2,0,duplex-reverse,3,256,80,10,85025,2048,2048,0,0
0,1,duplex-forward,3,257,0,10,85640,257,257,0,0
0,1,duplex-reverse,3,256,0,10,601,2048,2048,0,0
0,1,duplex-forward,3,4096,10,10,92748,4096,4096,0,0
0,1,duplex-reverse,3,256,10,10,619,2048,2048,0,0
0,1,duplex-forward,3,65535,78,10,643329,65535,65535,0,0
0,1,duplex-reverse,3,256,78,10,600,2048,2048,0,0
1,1,duplex-forward,3,257,0,10,85688,257,257,0,0
1,1,duplex-reverse,3,256,0,10,668,2048,2048,0,0
1,1,duplex-forward,3,4096,10,10,92773,4096,4096,0,0
1,1,duplex-reverse,3,256,10,10,606,2048,2048,0,0
1,1,duplex-forward,3,65535,78,12,643488,65535,65535,0,0
1,1,duplex-reverse,3,256,78,12,588,2048,2048,0,0
2,1,duplex-forward,3,257,0,10,85687,257,257,0,0
2,1,duplex-reverse,3,256,0,10,613,2048,2048,0,0
2,1,duplex-forward,3,4096,10,10,92756,4096,4096,0,0
2,1,duplex-reverse,3,256,10,10,587,2048,2048,0,0
2,1,duplex-forward,3,65535,78,12,643330,65535,65535,0,0
2,1,duplex-reverse,3,256,78,12,639,2048,2048,0,0
# terminal,status=0,saved=36,recovery=0
