# uart-data-probe-r01-b2026-09-13-21-30-31Z (experimental)
repeat,route,direction,pattern,length,send_ticks,reply_ticks,elapsed_us,expected_bytes,actual_bytes,errors,status
0,0,forward,0,0,0,0,418,0,0,0,0
0,0,forward,0,1,0,0,749,1,1,0,0
0,0,forward,0,63,0,0,1159,63,63,0,0
0,0,forward,0,64,0,0,1245,64,64,0,0
0,0,forward,0,65,0,0,1162,65,65,0,0
0,0,forward,0,255,0,0,2791,255,255,0,0
0,0,forward,0,256,0,0,2816,256,256,0,0
0,0,forward,0,257,2,0,2815,257,257,0,0
0,0,forward,0,4095,4,0,37374,4095,4095,0,0
0,0,forward,0,4096,4,2,37481,4096,4096,0,0
0,0,forward,0,4097,4,0,37468,4097,4097,0,0
0,0,forward,0,32768,36,0,295931,32768,32768,0,0
0,0,forward,0,65535,70,2,591096,65535,65535,0,0
0,0,forward,1,0,0,2,484,0,0,0,0
0,0,forward,1,1,0,0,690,1,1,0,0
0,0,forward,1,63,0,0,1164,63,63,0,0
0,0,forward,1,64,0,0,1262,64,64,0,0
0,0,forward,1,65,0,0,1203,65,65,0,0
0,0,forward,1,255,0,2,2851,255,255,0,0
0,0,forward,1,256,0,0,2781,256,256,0,0
0,0,forward,1,257,0,0,2812,257,257,0,0
0,0,forward,1,4095,4,0,36944,4095,4095,0,0
0,0,forward,1,4096,4,0,36943,4096,4096,0,0
0,0,forward,1,4097,4,0,36972,4097,4097,0,0
0,0,forward,1,32768,36,0,292350,32768,32768,0,0
0,0,forward,1,65535,70,2,583844,65535,65535,0,0
0,0,forward,2,0,0,0,461,0,0,0,0
0,0,forward,2,1,0,0,686,1,1,0,0
0,0,forward,2,63,0,0,1220,63,63,0,0
0,0,forward,2,64,0,0,1185,64,64,0,0
0,0,forward,2,65,0,0,1179,65,65,0,0
0,0,forward,2,255,2,0,2782,255,255,0,0
0,0,forward,2,256,0,0,2803,256,256,0,0
0,0,forward,2,257,0,0,2826,257,257,0,0
0,0,forward,2,4095,6,0,37331,4095,4095,0,0
0,0,forward,2,4096,4,0,37342,4096,4096,0,0
0,0,forward,2,4097,6,0,37317,4097,4097,0,0
0,0,forward,2,32768,36,0,294945,32768,32768,0,0
0,0,forward,2,65535,70,2,589140,65535,65535,0,0
0,0,forward,3,0,0,0,461,0,0,0,0
0,0,forward,3,1,0,0,672,1,1,0,0
0,0,forward,3,63,0,2,1227,63,63,0,0
0,0,forward,3,64,0,0,1156,64,64,0,0
0,0,forward,3,65,0,0,1147,65,65,0,0
0,0,forward,3,255,0,0,2780,255,255,0,0
0,0,forward,3,256,0,0,2802,256,256,0,0
0,0,forward,3,257,0,0,2799,257,257,0,0
0,0,forward,3,4095,4,0,37276,4095,4095,0,0
0,0,forward,3,4096,6,0,37343,4096,4096,0,0
0,0,forward,3,4097,6,0,37299,4097,4097,0,0
0,0,forward,3,32768,36,0,295202,32768,32768,0,0
0,0,forward,3,65535,70,2,589554,65535,65535,0,0
1,0,forward,0,0,0,0,433,0,0,0,0
1,0,forward,0,1,0,0,684,1,1,0,0
1,0,forward,0,63,0,0,1153,63,63,0,0
1,0,forward,0,64,0,0,1243,64,64,0,0
1,0,forward,0,65,0,0,1233,65,65,0,0
1,0,forward,0,255,0,0,2817,255,255,0,0
1,0,forward,0,256,0,0,2841,256,256,0,0
1,0,forward,0,257,2,0,2850,257,257,0,0
1,0,forward,0,4095,6,0,37403,4095,4095,0,0
1,0,forward,0,4096,4,0,37397,4096,4096,0,0
