# uart-data-probe-r01-b2026-09-13-21-30-31Z (experimental)
repeat,route,direction,pattern,length,send_ticks,reply_ticks,elapsed_us,expected_bytes,actual_bytes,errors,status
0,0,forward,0,0,0,0,435,0,0,0,0
0,0,forward,0,1,0,0,670,1,1,0,0
0,0,forward,0,63,0,0,1152,63,63,0,0
0,0,forward,0,64,0,0,1151,64,64,0,0
0,0,forward,0,65,0,0,1182,65,65,0,0
0,0,forward,0,255,0,0,2856,255,255,0,0
0,0,forward,0,256,0,0,2822,256,256,0,0
0,0,forward,0,257,2,0,2866,257,257,0,0
0,0,forward,0,4095,4,0,37358,4095,4095,0,0
0,0,forward,0,4096,4,0,37420,4096,4096,0,0
0,0,forward,0,4097,4,2,37458,4097,4097,0,0
0,0,forward,0,32768,34,2,296059,32768,32768,0,0
0,0,forward,0,65535,70,2,591238,65535,65535,0,0
0,0,forward,1,0,0,0,433,0,0,0,0
0,0,forward,1,1,0,0,738,1,1,0,0
0,0,forward,1,63,0,0,1169,63,63,0,0
0,0,forward,1,64,0,0,1139,64,64,0,0
0,0,forward,1,65,0,0,1231,65,65,0,0
0,0,forward,1,255,0,0,2778,255,255,0,0
0,0,forward,1,256,0,0,2787,256,256,0,0
0,0,forward,1,257,0,0,2789,257,257,0,0
0,0,forward,1,4095,4,0,36946,4095,4095,0,0
0,0,forward,1,4096,6,0,36965,4096,4096,0,0
0,0,forward,1,4097,4,0,36963,4097,4097,0,0
0,0,forward,1,32768,36,0,292210,32768,32768,0,0
0,0,forward,1,65535,70,2,583834,65535,65535,0,0
0,0,forward,2,0,0,0,495,0,0,0,0
0,0,forward,2,1,0,0,690,1,1,0,0
0,0,forward,2,63,0,0,1232,63,63,0,0
0,0,forward,2,64,0,2,1222,64,64,0,0
0,0,forward,2,65,0,0,1177,65,65,0,0
0,0,forward,2,255,2,0,2811,255,255,0,0
0,0,forward,2,256,0,0,2819,256,256,0,0
0,0,forward,2,257,0,0,2816,257,257,0,0
0,0,forward,2,4095,4,0,37311,4095,4095,0,0
0,0,forward,2,4096,4,0,37307,4096,4096,0,0
0,0,forward,2,4097,6,0,37344,4097,4097,0,0
0,0,forward,2,32768,36,0,295030,32768,32768,0,0
0,0,forward,2,65535,70,2,589118,65535,65535,0,0
0,0,forward,3,0,0,0,439,0,0,0,0
0,0,forward,3,1,0,0,674,1,1,0,0
0,0,forward,3,63,0,0,1163,63,63,0,0
0,0,forward,3,64,0,0,1162,64,64,0,0
0,0,forward,3,65,0,0,1174,65,65,0,0
0,0,forward,3,255,0,0,2793,255,255,0,0
0,0,forward,3,256,0,0,2786,256,256,0,0
0,0,forward,3,257,0,0,2804,257,257,0,0
0,0,forward,3,4095,4,0,37364,4095,4095,0,0
0,0,forward,3,4096,6,0,37303,4096,4096,0,0
0,0,forward,3,4097,4,0,37290,4097,4097,0,0
0,0,forward,3,32768,34,2,295221,32768,32768,0,0
0,0,forward,3,65535,72,0,589567,65535,65535,0,0
1,0,forward,0,0,0,0,438,0,0,0,0
