# uart-data-probe-r01-b2026-09-13-21-30-31Z (experimental)
repeat,route,direction,pattern,length,send_ticks,reply_ticks,elapsed_us,expected_bytes,actual_bytes,errors,status
0,0,duplex-forward,3,257,0,10,86890,257,257,0,0
0,0,duplex-reverse,3,256,0,10,85040,2048,2048,0,0
0,0,duplex-forward,3,4096,14,10,120843,4096,4096,0,0
0,0,duplex-reverse,3,256,14,10,85008,2048,2048,0,0
0,0,duplex-forward,3,65535,82,12,673183,65535,65535,0,0
0,0,duplex-reverse,3,256,82,12,85050,2048,2048,0,0
1,0,duplex-forward,3,257,2,12,86866,257,257,0,0
1,0,duplex-reverse,3,256,2,12,85020,2048,2048,0,0
1,0,duplex-forward,3,4096,16,10,120854,4096,4096,0,0
1,0,duplex-reverse,3,256,16,10,84982,2048,2048,0,0
1,0,duplex-forward,3,65535,80,10,673023,65535,65535,0,0
1,0,duplex-reverse,3,256,80,10,85013,2048,2048,0,0
2,0,duplex-forward,3,257,0,10,86783,257,257,0,0
2,0,duplex-reverse,3,256,0,10,84977,2048,2048,0,0
2,0,duplex-forward,3,4096,14,10,120875,4096,4096,0,0
2,0,duplex-reverse,3,256,14,10,85015,2048,2048,0,0
2,0,duplex-forward,3,65535,82,10,673260,65535,65535,0,0
2,0,duplex-reverse,3,256,82,10,85001,2048,2048,0,0
0,1,duplex-forward,3,257,2,12,88020,257,257,0,0
0,1,duplex-reverse,3,256,2,12,630,2048,2048,0,0
0,1,duplex-forward,3,4096,12,10,107190,4096,4096,0,0
0,1,duplex-reverse,3,256,12,10,612,2048,2048,0,0
0,1,duplex-forward,3,65535,80,12,657798,65535,65535,0,0
0,1,duplex-reverse,3,256,80,12,591,2048,2048,0,0
1,1,duplex-forward,3,257,0,10,87968,257,257,0,0
1,1,duplex-reverse,3,256,0,10,606,2048,2048,0,0
1,1,duplex-forward,3,4096,14,12,107213,4096,4096,0,0
1,1,duplex-reverse,3,256,14,12,620,2048,2048,0,0
1,1,duplex-forward,3,65535,78,10,657757,65535,65535,0,0
1,1,duplex-reverse,3,256,78,10,615,2048,2048,0,0
2,1,duplex-forward,3,257,2,10,87972,257,257,0,0
2,1,duplex-reverse,3,256,2,10,598,2048,2048,0,0
2,1,duplex-forward,3,4096,12,10,107195,4096,4096,0,0
2,1,duplex-reverse,3,256,12,10,602,2048,2048,0,0
2,1,duplex-forward,3,65535,80,12,657937,65535,65535,0,0
2,1,duplex-reverse,3,256,80,12,613,2048,2048,0,0
# terminal,status=0,saved=36,recovery=0
