# uart-data-probe-r01-b2026-09-13-21-30-31Z (experimental)
repeat,route,direction,pattern,length,send_ticks,reply_ticks,elapsed_us,expected_bytes,actual_bytes,errors,status
0,0,forward,0,0,0,0,518,0,0,0,0
0,0,forward,0,1,0,0,747,1,1,0,0
0,0,forward,0,63,2,0,1239,63,63,0,0
0,0,forward,0,64,0,0,1221,64,64,0,0
0,0,forward,0,65,2,0,1172,65,65,0,0
0,0,forward,0,255,0,0,2776,255,255,0,0
0,0,forward,0,256,0,0,2808,256,256,0,0
0,0,forward,0,257,0,0,2811,257,257,0,0
0,0,forward,0,4095,4,0,37386,4095,4095,0,0
0,0,forward,0,4096,6,0,37442,4096,4096,0,0
0,0,forward,0,4097,4,0,37450,4097,4097,0,0
0,0,forward,0,32768,36,0,296016,32768,32768,0,0
0,0,forward,0,65535,72,0,591014,65535,65535,0,0
0,0,forward,1,0,0,0,436,0,0,0,0
0,0,forward,1,1,0,0,726,1,1,0,0
0,0,forward,1,63,0,0,1169,63,63,0,0
0,0,forward,1,64,0,0,1153,64,64,0,0
0,0,forward,1,65,0,0,1228,65,65,0,0
0,0,forward,1,255,0,2,2830,255,255,0,0
0,0,forward,1,256,0,0,2775,256,256,0,0
0,0,forward,1,257,0,0,2784,257,257,0,0
0,0,forward,1,4095,6,0,36985,4095,4095,0,0
0,0,forward,1,4096,4,2,36946,4096,4096,0,0
0,0,forward,1,4097,4,0,36996,4097,4097,0,0
0,0,forward,1,32768,34,0,292373,32768,32768,0,0
0,0,forward,1,65535,70,0,583698,65535,65535,0,0
0,0,forward,2,0,0,0,441,0,0,0,0
0,0,forward,2,1,0,0,802,1,1,0,0
0,0,forward,2,63,0,0,1162,63,63,0,0
0,0,forward,2,64,0,0,1160,64,64,0,0
0,0,forward,2,65,0,0,1174,65,65,0,0
0,0,forward,2,255,0,0,2813,255,255,0,0
0,0,forward,2,256,2,0,2845,256,256,0,0
0,0,forward,2,257,0,0,2829,257,257,0,0
0,0,forward,2,4095,4,0,37317,4095,4095,0,0
0,0,forward,2,4096,4,0,37291,4096,4096,0,0
0,0,forward,2,4097,4,0,37305,4097,4097,0,0
0,0,forward,2,32768,34,2,295079,32768,32768,0,0
0,0,forward,2,65535,70,2,589282,65535,65535,0,0
0,0,forward,3,0,0,0,435,0,0,0,0
0,0,forward,3,1,0,0,762,1,1,0,0
0,0,forward,3,63,0,0,1157,63,63,0,0
0,0,forward,3,64,2,0,1195,64,64,0,0
0,0,forward,3,65,0,0,1173,65,65,0,0
0,0,forward,3,255,0,0,2786,255,255,0,0
0,0,forward,3,256,0,0,2818,256,256,0,0
0,0,forward,3,257,0,0,2797,257,257,0,0
0,0,forward,3,4095,4,0,37307,4095,4095,0,0
0,0,forward,3,4096,4,0,37309,4096,4096,0,0
0,0,forward,3,4097,4,0,37291,4097,4097,0,0
0,0,forward,3,32768,36,0,295208,32768,32768,0,0
0,0,forward,3,65535,70,2,589739,65535,65535,0,0
1,0,forward,0,0,0,0,524,0,0,0,0
1,0,forward,0,1,0,0,753,1,1,0,0
1,0,forward,0,63,0,0,1238,63,63,0,0
1,0,forward,0,64,0,0,1161,64,64,0,0
1,0,forward,0,65,0,0,1174,65,65,0,0
1,0,forward,0,255,0,0,2814,255,255,0,0
1,0,forward,0,256,0,0,2793,256,256,0,0
1,0,forward,0,257,0,0,2837,257,257,0,0
1,0,forward,0,4095,4,0,37368,4095,4095,0,0
1,0,forward,0,4096,4,0,37388,4096,4096,0,0
1,0,forward,0,4097,4,0,37398,4097,4097,0,0
1,0,forward,0,32768,34,2,296008,32768,32768,0,0
1,0,forward,0,65535,70,2,591036,65535,65535,0,0
1,0,forward,1,0,0,0,439,0,0,0,0
1,0,forward,1,1,2,0,723,1,1,0,0
1,0,forward,1,63,0,0,1210,63,63,0,0
1,0,forward,1,64,2,0,1255,64,64,0,0
1,0,forward,1,65,0,0,1175,65,65,0,0
1,0,forward,1,255,0,0,2780,255,255,0,0
1,0,forward,1,256,2,0,2807,256,256,0,0
1,0,forward,1,257,0,0,2784,257,257,0,0
1,0,forward,1,4095,4,0,36922,4095,4095,0,0
1,0,forward,1,4096,4,0,36953,4096,4096,0,0
