# uart-data-probe-r01-b2026-09-13-21-30-31Z (experimental)
repeat,route,direction,pattern,length,send_ticks,reply_ticks,elapsed_us,expected_bytes,actual_bytes,errors,status
0,0,duplex-forward,3,257,0,10,86819,257,257,0,0
0,0,duplex-reverse,3,256,0,10,85018,2048,2048,0,0
0,0,duplex-forward,3,4096,14,10,120785,4096,4096,0,0
0,0,duplex-reverse,3,256,14,10,85029,2048,2048,0,0
0,0,duplex-forward,3,65535,80,10,672657,65535,65535,0,0
0,0,duplex-reverse,3,256,80,10,85011,2048,2048,0,0
1,0,duplex-forward,3,257,0,10,86831,257,257,0,0
1,0,duplex-reverse,3,256,0,10,85032,2048,2048,0,0
1,0,duplex-forward,3,4096,14,10,120906,4096,4096,0,0
1,0,duplex-reverse,3,256,14,10,85009,2048,2048,0,0
1,0,duplex-forward,3,65535,80,10,672658,65535,65535,0,0
1,0,duplex-reverse,3,256,80,10,84972,2048,2048,0,0
2,0,duplex-forward,3,257,2,12,86803,257,257,0,0
2,0,duplex-reverse,3,256,2,12,84963,2048,2048,0,0
2,0,duplex-forward,3,4096,16,12,120872,4096,4096,0,0
2,0,duplex-reverse,3,256,16,12,85006,2048,2048,0,0
2,0,duplex-forward,3,65535,80,10,673215,65535,65535,0,0
2,0,duplex-reverse,3,256,80,10,85010,2048,2048,0,0
0,1,duplex-forward,3,257,2,12,98005,257,257,0,0
0,1,duplex-reverse,3,256,2,12,613,2048,2048,0,0
0,1,duplex-forward,3,4096,14,10,120047,4096,4096,0,0
0,1,duplex-reverse,3,256,14,10,592,2048,2048,0,0
0,1,duplex-forward,3,65535,80,10,672091,65535,65535,0,0
0,1,duplex-reverse,3,256,80,10,664,2048,2048,0,0
1,1,duplex-forward,3,257,2,12,98007,257,257,0,0
1,1,duplex-reverse,3,256,2,12,653,2048,2048,0,0
1,1,duplex-forward,3,4096,14,10,120049,4096,4096,0,0
1,1,duplex-reverse,3,256,14,10,609,2048,2048,0,0
1,1,duplex-forward,3,65535,80,10,672060,65535,65535,0,0
1,1,duplex-reverse,3,256,80,10,585,2048,2048,0,0
2,1,duplex-forward,3,257,2,12,98004,257,257,0,0
2,1,duplex-reverse,3,256,2,12,590,2048,2048,0,0
2,1,duplex-forward,3,4096,14,10,120048,4096,4096,0,0
2,1,duplex-reverse,3,256,14,10,595,2048,2048,0,0
2,1,duplex-forward,3,65535,80,10,672156,65535,65535,0,0
2,1,duplex-reverse,3,256,80,10,595,2048,2048,0,0
# terminal,status=0,saved=36,recovery=0
