# uart-data-probe-r01-b2026-09-13-21-30-31Z (experimental)
repeat,route,direction,pattern,length,send_ticks,reply_ticks,elapsed_us,expected_bytes,actual_bytes,errors,status
0,0,forward,0,0,0,0,430,0,0,0,0
0,0,forward,0,1,0,0,699,1,1,0,0
0,0,forward,0,63,0,0,1268,63,63,0,0
0,0,forward,0,64,0,0,1161,64,64,0,0
0,0,forward,0,65,0,0,1238,65,65,0,0
0,0,forward,0,255,0,0,2806,255,255,0,0
0,0,forward,0,256,0,0,2816,256,256,0,0
0,0,forward,0,257,0,0,2816,257,257,0,0
0,0,forward,0,4095,6,0,37433,4095,4095,0,0
0,0,forward,0,4096,4,0,37446,4096,4096,0,0
0,0,forward,0,4097,4,0,37324,4097,4097,0,0
0,0,forward,0,32768,36,0,296002,32768,32768,0,0
0,0,forward,0,65535,72,0,591087,65535,65535,0,0
0,0,forward,1,0,0,0,437,0,0,0,0
0,0,forward,1,1,0,0,744,1,1,0,0
0,0,forward,1,63,0,0,1169,63,63,0,0
0,0,forward,1,64,0,0,1145,64,64,0,0
0,0,forward,1,65,0,0,1147,65,65,0,0
0,0,forward,1,255,0,0,2778,255,255,0,0
0,0,forward,1,256,0,0,2785,256,256,0,0
0,0,forward,1,257,2,0,2831,257,257,0,0
0,0,forward,1,4095,4,0,36948,4095,4095,0,0
0,0,forward,1,4096,6,0,36975,4096,4096,0,0
0,0,forward,1,4097,4,0,36967,4097,4097,0,0
0,0,forward,1,32768,36,0,292303,32768,32768,0,0
0,0,forward,1,65535,70,2,583659,65535,65535,0,0
0,0,forward,2,0,0,0,452,0,0,0,0
0,0,forward,2,1,2,0,727,1,1,0,0
0,0,forward,2,63,0,0,1238,63,63,0,0
0,0,forward,2,64,0,0,1162,64,64,0,0
0,0,forward,2,65,0,0,1156,65,65,0,0
0,0,forward,2,255,0,0,2782,255,255,0,0
0,0,forward,2,256,0,0,2799,256,256,0,0
0,0,forward,2,257,2,0,2857,257,257,0,0
0,0,forward,2,4095,4,0,37315,4095,4095,0,0
0,0,forward,2,4096,4,0,37293,4096,4096,0,0
0,0,forward,2,4097,4,0,37322,4097,4097,0,0
0,0,forward,2,32768,36,0,294965,32768,32768,0,0
0,0,forward,2,65535,72,2,589293,65535,65535,0,0
0,0,forward,3,0,0,0,470,0,0,0,0
0,0,forward,3,1,0,0,686,1,1,0,0
0,0,forward,3,63,0,0,1139,63,63,0,0
0,0,forward,3,64,0,0,1153,64,64,0,0
0,0,forward,3,65,0,0,1155,65,65,0,0
0,0,forward,3,255,0,0,2792,255,255,0,0
0,0,forward,3,256,0,0,2842,256,256,0,0
0,0,forward,3,257,0,0,2787,257,257,0,0
0,0,forward,3,4095,4,0,37316,4095,4095,0,0
0,0,forward,3,4096,4,0,37319,4096,4096,0,0
0,0,forward,3,4097,6,0,37336,4097,4097,0,0
0,0,forward,3,32768,36,2,295440,32768,32768,0,0
0,0,forward,3,65535,70,2,589679,65535,65535,0,0
1,0,forward,0,0,0,0,424,0,0,0,0
1,0,forward,0,1,0,0,690,1,1,0,0
1,0,forward,0,63,0,0,1159,63,63,0,0
1,0,forward,0,64,0,0,1219,64,64,0,0
1,0,forward,0,65,0,0,1185,65,65,0,0
1,0,forward,0,255,0,0,2791,255,255,0,0
1,0,forward,0,256,0,0,2815,256,256,0,0
1,0,forward,0,257,0,0,2807,257,257,0,0
1,0,forward,0,4095,6,0,37419,4095,4095,0,0
1,0,forward,0,4096,4,0,37465,4096,4096,0,0
1,0,forward,0,4097,4,0,37399,4097,4097,0,0
1,0,forward,0,32768,36,0,295982,32768,32768,0,0
1,0,forward,0,65535,70,2,590976,65535,65535,0,0
1,0,forward,1,0,0,0,440,0,0,0,0
1,0,forward,1,1,0,0,753,1,1,0,0
1,0,forward,1,63,0,0,1163,63,63,0,0
1,0,forward,1,64,0,0,1214,64,64,0,0
1,0,forward,1,65,0,0,1164,65,65,0,0
1,0,forward,1,255,0,0,2784,255,255,0,0
1,0,forward,1,256,0,0,2800,256,256,0,0
1,0,forward,1,257,0,0,2807,257,257,0,0
1,0,forward,1,4095,4,0,36937,4095,4095,0,0
1,0,forward,1,4096,4,2,36950,4096,4096,0,0
1,0,forward,1,4097,4,0,37021,4097,4097,0,0
1,0,forward,1,32768,36,0,292311,32768,32768,0,0
1,0,forward,1,65535,70,2,583773,65535,65535,0,0
1,0,forward,2,0,0,0,518,0,0,0,0
1,0,forward,2,1,0,0,767,1,1,0,0
1,0,forward,2,63,0,0,1162,63,63,0,0
1,0,forward,2,64,0,0,1201,64,64,0,0
1,0,forward,2,65,0,0,1167,65,65,0,0
1,0,forward,2,255,0,0,2800,255,255,0,0
1,0,forward,2,256,0,0,2794,256,256,0,0
1,0,forward,2,257,0,0,2827,257,257,0,0
1,0,forward,2,4095,4,2,37328,4095,4095,0,0
1,0,forward,2,4096,4,0,37271,4096,4096,0,0
1,0,forward,2,4097,4,0,37290,4097,4097,0,0
1,0,forward,2,32768,36,0,294990,32768,32768,0,0
1,0,forward,2,65535,72,2,589275,65535,65535,0,0
1,0,forward,3,0,0,0,439,0,0,0,0
1,0,forward,3,1,0,0,770,1,1,0,0
1,0,forward,3,63,0,0,1152,63,63,0,0
1,0,forward,3,64,0,0,1154,64,64,0,0
1,0,forward,3,65,0,0,1230,65,65,0,0
1,0,forward,3,255,0,0,2783,255,255,0,0
1,0,forward,3,256,0,0,2814,256,256,0,0
1,0,forward,3,257,0,0,2799,257,257,0,0
1,0,forward,3,4095,4,0,37262,4095,4095,0,0
1,0,forward,3,4096,4,0,37296,4096,4096,0,0
1,0,forward,3,4097,4,2,37359,4097,4097,0,0
1,0,forward,3,32768,36,0,295160,32768,32768,0,0
1,0,forward,3,65535,70,2,589663,65535,65535,0,0
2,0,forward,0,0,0,0,431,0,0,0,0
2,0,forward,0,1,0,0,711,1,1,0,0
2,0,forward,0,63,0,0,1208,63,63,0,0
2,0,forward,0,64,0,0,1153,64,64,0,0
2,0,forward,0,65,0,0,1167,65,65,0,0
2,0,forward,0,255,0,0,2796,255,255,0,0
2,0,forward,0,256,2,0,2829,256,256,0,0
2,0,forward,0,257,0,0,2822,257,257,0,0
2,0,forward,0,4095,4,0,37365,4095,4095,0,0
2,0,forward,0,4096,4,0,37429,4096,4096,0,0
2,0,forward,0,4097,6,0,37417,4097,4097,0,0
2,0,forward,0,32768,34,2,295870,32768,32768,0,0
2,0,forward,0,65535,70,2,591223,65535,65535,0,0
2,0,forward,1,0,0,0,420,0,0,0,0
