# uart-data-probe-r01-b2026-09-13-21-30-31Z (experimental)
repeat,route,direction,pattern,length,send_ticks,reply_ticks,elapsed_us,expected_bytes,actual_bytes,errors,status
0,0,duplex-forward,3,257,0,10,86778,257,257,0,0
0,0,duplex-reverse,3,256,0,10,84970,2048,2048,0,0
0,0,duplex-forward,3,4096,16,12,120778,4096,4096,0,0
0,0,duplex-reverse,3,256,16,12,85049,2048,2048,0,0
0,0,duplex-forward,3,65535,80,10,672616,65535,65535,0,0
0,0,duplex-reverse,3,256,80,10,84983,2048,2048,0,0
1,0,duplex-forward,3,257,0,10,86825,257,257,0,0
1,0,duplex-reverse,3,256,0,10,84967,2048,2048,0,0
1,0,duplex-forward,3,4096,14,10,120936,4096,4096,0,0
1,0,duplex-reverse,3,256,14,10,85042,2048,2048,0,0
1,0,duplex-forward,3,65535,80,10,672678,65535,65535,0,0
1,0,duplex-reverse,3,256,80,10,84969,2048,2048,0,0
2,0,duplex-forward,3,257,0,10,86861,257,257,0,0
2,0,duplex-reverse,3,256,0,10,85015,2048,2048,0,0
2,0,duplex-forward,3,4096,14,10,120874,4096,4096,0,0
2,0,duplex-reverse,3,256,14,10,85021,2048,2048,0,0
2,0,duplex-forward,3,65535,82,10,672937,65535,65535,0,0
2,0,duplex-reverse,3,256,82,10,85048,2048,2048,0,0
0,1,duplex-forward,3,257,2,12,112006,257,257,0,0
0,1,duplex-reverse,3,256,2,12,607,2048,2048,0,0
0,1,duplex-forward,3,4096,16,14,134049,4096,4096,0,0
0,1,duplex-reverse,3,256,16,14,593,2048,2048,0,0
0,1,duplex-forward,3,65535,82,12,686194,65535,65535,0,0
0,1,duplex-reverse,3,256,82,12,607,2048,2048,0,0
1,1,duplex-forward,3,257,2,14,112021,257,257,0,0
1,1,duplex-reverse,3,256,2,14,607,2048,2048,0,0
1,1,duplex-forward,3,4096,16,12,134050,4096,4096,0,0
1,1,duplex-reverse,3,256,16,12,597,2048,2048,0,0
1,1,duplex-forward,3,65535,82,12,686058,65535,65535,0,0
1,1,duplex-reverse,3,256,82,12,601,2048,2048,0,0
2,1,duplex-forward,3,257,2,12,112994,257,257,0,0
2,1,duplex-reverse,3,256,2,12,596,2048,2048,0,0
2,1,duplex-forward,3,4096,16,12,134049,4096,4096,0,0
2,1,duplex-reverse,3,256,16,12,592,2048,2048,0,0
2,1,duplex-forward,3,65535,82,14,686037,65535,65535,0,0
2,1,duplex-reverse,3,256,82,14,588,2048,2048,0,0
# terminal,status=0,saved=36,recovery=0
